Dataset Atlas Type Value
SWU4 Hammer Hom 0.019634071399088678
SWU4 Hammer Hom 0.011907625152561312
SWU4 Hammer Hom 0.039086846431449246
SWU4 Hammer Hom 0.005050843603468409
SWU4 Hammer Hom 0.013953009822692758
SWU4 Hammer Hom 0.024579854727786617
SWU4 Hammer Hom 0.013480862689888832
SWU4 Hammer Hom 0.00974035401264167
SWU4 Hammer Hom 0.013244403693006009
SWU4 Hammer Hom 0.01488852197045428
SWU4 Hammer Hom 0.015923331381419218
SWU4 Hammer Hom 0.014192856960061638
SWU4 Hammer Hom 0.015958567001162858
SWU4 Hammer Hom 0.01339634445984824
SWU4 Hammer Hom 0.016237043719900007
SWU4 Hammer Hom 0.013975355417965692
SWU4 Hammer Hom 0.00872830911561621
SWU4 Hammer Hom 0.018446528884458975
SWU4 Hammer Hom 0.010178439776264241
SWU4 Hammer Hom 0.017862525649747513
SWU4 Hammer Hom 0.015873877465405927
SWU4 Hammer Hom 0.013947040883006807
SWU4 Hammer Hom 0.01488565271056445
SWU4 Hammer Hom 0.020178902886547313
SWU4 Hammer Hom 0.009961104985912041
SWU4 Hammer Hom 0.010157248806012688
SWU4 Hammer Hom 0.01820548133522585
SWU4 Hammer Hom 0.019337218215734166
SWU4 Hammer Hom 0.033229084286527925
SWU4 Hammer Hom 0.011870801478729256
SWU4 Hammer Hom 0.014226081920905662
SWU4 Hammer Hom 0.010314997099460054
SWU4 Hammer Hom 0.011238842682925302
SWU4 Hammer Hom 0.01983928168481189
SWU4 Hammer Hom 0.01145879856598438
SWU4 Hammer Hom 0.00974008538392571
SWU4 Hammer Hom 0.006944828594944909
SWU4 Hammer Hom 0.016145973211887796
SWU4 Hammer Hom 0.009527243610358475
SWU4 Hammer Hom 0.02388528444870671
SWU4 Hammer Hom 0.013304598487751763
SWU4 Hammer Hom 0.008917327929453727
SWU4 Hammer Hom 0.010162380275822598
SWU4 Hammer Hom 0.016203697898588
SWU4 Hammer Hom 0.021122301186980403
SWU4 Hammer Hom 0.016423170255300643
SWU4 Hammer Hom 0.014369104184721433
SWU4 Hammer Hom 0.012605562824842213
SWU4 Hammer Hom 0.019766308581829383
SWU4 Hammer Hom 0.007293753203019703
SWU4 Hammer Hom 0.013839492490251033
SWU4 Hammer Hom 0.011963422532548786
SWU4 Hammer Hom 0.019444616851812285
SWU4 Hammer Hom 0.02704070931956361
SWU4 Hammer Hom 0.01937912975408367
SWU4 Hammer Hom 0.009717380325307924
SWU4 Hammer Hom 0.010806432067778168
SWU4 Hammer Hom 0.015582663645538
SWU4 Hammer Hom 0.015584349769614779
SWU4 Hammer Hom 0.009597677757778564
SWU4 Hammer Hom 0.008398914881402878
SWU4 Hammer Hom 0.01784315025410752
SWU4 Hammer Hom 0.023288483883087414
SWU4 Hammer Hom 0.01498039590967764
SWU4 Hammer Hom 0.01431444730537237
SWU4 Hammer Hom 0.009053930041208707
SWU4 Hammer Hom 0.010802587928307522
SWU4 Hammer Hom 0.023870959854166533
SWU4 Hammer Hom 0.021509585429710286
SWU4 Hammer Hom 0.010250042158580068
SWU4 Hammer Hom 0.008944258182550978
SWU4 Hammer Hom 0.011825743967855842
SWU4 Hammer Hom 0.02184763189132844
SWU4 Hammer Hom 0.021976256758047798
SWU4 Hammer Hom 0.016883177284342764
SWU4 Hammer Hom 0.019408996274159623
SWU4 Hammer Hom 0.015520662633642067
SWU4 Hammer Hom 0.01715246009032601
SWU4 Hammer Hom 0.02483403408490473
SWU4 Hammer Hom 0.0213972678491307
SWU4 Hammer Hom 0.012790792085162686
SWU4 Hammer Hom 0.01184926610922795
SWU4 Hammer Hom 0.015087194959184138
SWU4 Hammer Hom 0.009728126535718971
SWU4 Hammer Hom 0.012636588954558551
SWU4 Hammer Hom 0.025351210814986085
SWU4 Hammer Hom 0.020614946364143332
SWU4 Hammer Hom 0.022917173873688284
SWU4 Hammer Hom 0.014965736061707082
SWU4 Hammer Hom 0.015750122268514216
SWU4 Hammer Hom 0.01807020151162039
SWU4 Hammer Hom 0.01444053420465163
SWU4 Hammer Hom 0.01086094801216458
SWU4 Hammer Hom 0.014226415691841141
SWU4 Hammer Hom 0.015494689252530678
SWU4 Hammer Hom 0.014721880024622819
SWU4 Hammer Hom 0.008360724904408165
SWU4 Hammer Hom 0.030311774377227707
SWU4 Hammer Hom 0.00999974205483183
SWU4 Hammer Hom 0.01490060385471861
SWU4 Hammer Hom 0.021091882938759597
SWU4 Hammer Hom 0.018962713636669733
SWU4 Hammer Hom 0.017842063425820214
SWU4 Hammer Hom 0.010041268845545698
SWU4 Hammer Hom 0.010041751078233867
SWU4 Hammer Hom 0.010102792798057505
SWU4 Hammer Hom 0.012260774078068777
SWU4 Hammer Hom 0.011117433640188574
SWU4 Hammer Hom 0.017276327111108478
SWU4 Hammer Hom 0.013336298465691768
SWU4 Hammer Hom 0.01707317465359491
SWU4 Hammer Hom 0.012528867902516817
SWU4 Hammer Hom 0.008861919945566106
SWU4 Hammer Hom 0.008604430748315578
SWU4 Hammer Hom 0.018292765586160917
SWU4 Hammer Hom 0.01479836516536619
SWU4 Hammer Hom 0.006355893608056793
SWU4 Hammer Hom 0.027883697347431343
SWU4 Hammer Hom 0.013890342702346629
SWU4 Hammer Hom 0.013546006952363162
SWU4 Hammer Hom 0.017504931835512272
SWU4 Hammer Hom 0.009170826507972933
SWU4 Hammer Hom 0.019229297679336635
SWU4 Hammer Hom 0.010728748050191715
SWU4 Hammer Hom 0.013800632152746017
SWU4 Hammer Hom 0.010860689954915403
SWU4 Hammer Hom 0.010199960526892881
SWU4 Hammer Hom 0.009122753992606874
SWU4 Hammer Hom 0.01577611430540499
SWU4 Hammer Hom 0.010821722345498606
SWU4 Hammer Hom 0.017023352115582275
SWU4 Hammer Hom 0.01162725500315761
SWU4 Hammer Hom 0.012907106750518248
SWU4 Hammer Hom 0.007907349056905976
SWU4 Hammer Hom 0.010129748034847851
SWU4 Hammer Hom 0.027047742238011787
SWU4 Hammer Hom 0.025311844690721636
