Dataset Atlas Type Value
SWU4 AAL Ipsi 0.2251621007259528
SWU4 AAL Ipsi 0.2170351624319419
SWU4 AAL Ipsi 0.301737811554749
SWU4 AAL Ipsi 0.3144386306715064
SWU4 AAL Ipsi 0.30564482607380516
SWU4 AAL Ipsi 0.2924039839685421
SWU4 AAL Ipsi 0.33312249697519664
SWU4 AAL Ipsi 0.3883752059891107
SWU4 AAL Ipsi 0.2570832876588022
SWU4 AAL Ipsi 0.2146744213551119
SWU4 AAL Ipsi 0.2376358306110103
SWU4 AAL Ipsi 0.2527810913490623
SWU4 AAL Ipsi 0.29132680580762255
SWU4 AAL Ipsi 0.20097315003024804
SWU4 AAL Ipsi 0.428224148215366
SWU4 AAL Ipsi 0.270635316091954
SWU4 AAL Ipsi 0.3772354370840895
SWU4 AAL Ipsi 0.24376146763460377
SWU4 AAL Ipsi 0.2684220686630369
SWU4 AAL Ipsi 0.26469537810042343
SWU4 AAL Ipsi 0.26813057229280096
SWU4 AAL Ipsi 0.23692201996370235
SWU4 AAL Ipsi 0.2828892407743496
SWU4 AAL Ipsi 0.23277475710828796
SWU4 AAL Ipsi 0.27142613399879006
SWU4 AAL Ipsi 0.2808758309134906
SWU4 AAL Ipsi 0.3694207437991531
SWU4 AAL Ipsi 0.25519301754385965
SWU4 AAL Ipsi 0.4546809352692075
SWU4 AAL Ipsi 0.3067909104658197
SWU4 AAL Ipsi 0.3757089724742892
SWU4 AAL Ipsi 0.3083548478523896
SWU4 AAL Ipsi 0.33034417301875374
SWU4 AAL Ipsi 0.2488272931034483
SWU4 AAL Ipsi 0.3402126851179673
SWU4 AAL Ipsi 0.31261258197217173
SWU4 AAL Ipsi 0.31594622988505744
SWU4 AAL Ipsi 0.28502065849969754
SWU4 AAL Ipsi 0.24807574228675133
SWU4 AAL Ipsi 0.2566344824561404
SWU4 AAL Ipsi 0.2912455299455535
SWU4 AAL Ipsi 0.4607027583182093
SWU4 AAL Ipsi 0.3244609721718088
SWU4 AAL Ipsi 0.24681269388989716
SWU4 AAL Ipsi 0.3170192701149426
SWU4 AAL Ipsi 0.30005109044162126
SWU4 AAL Ipsi 0.274439278584392
SWU4 AAL Ipsi 0.19646838203266787
SWU4 AAL Ipsi 0.2599676264367816
SWU4 AAL Ipsi 0.2414343049001815
SWU4 AAL Ipsi 0.33423984754990926
SWU4 AAL Ipsi 0.3215440293405929
SWU4 AAL Ipsi 0.258620204476709
SWU4 AAL Ipsi 0.2202424213551119
SWU4 AAL Ipsi 0.3146423058076225
SWU4 AAL Ipsi 0.25588181760435574
SWU4 AAL Ipsi 0.26628745735027226
SWU4 AAL Ipsi 0.17027500725952815
SWU4 AAL Ipsi 0.2638244845735027
SWU4 AAL Ipsi 0.31489958983666066
SWU4 AAL Ipsi 0.2786577192982456
SWU4 AAL Ipsi 0.31602356896551725
SWU4 AAL Ipsi 0.2572718336358137
SWU4 AAL Ipsi 0.22977476406533573
SWU4 AAL Ipsi 0.2181080145190563
SWU4 AAL Ipsi 0.2884815913490623
SWU4 AAL Ipsi 0.30727096218995764
SWU4 AAL Ipsi 0.3037983626739262
SWU4 AAL Ipsi 0.27055360707803994
SWU4 AAL Ipsi 0.2663035060496068
SWU4 AAL Ipsi 0.31469166787658803
SWU4 AAL Ipsi 0.2742502537810042
SWU4 AAL Ipsi 0.3461467413793104
SWU4 AAL Ipsi 0.2978857138535995
SWU4 AAL Ipsi 0.2660505311554749
SWU4 AAL Ipsi 0.3393972431941924
SWU4 AAL Ipsi 0.2546205980036298
SWU4 AAL Ipsi 0.29798830369026014
SWU4 AAL Ipsi 0.38869435874168184
SWU4 AAL Ipsi 0.28522322323049004
SWU4 AAL Ipsi 0.30067249637023596
SWU4 AAL Ipsi 0.2657011960072595
SWU4 AAL Ipsi 0.2672907952208106
SWU4 AAL Ipsi 0.3604387180883243
SWU4 AAL Ipsi 0.2886712504537205
SWU4 AAL Ipsi 0.24147185934664245
SWU4 AAL Ipsi 0.36457524863883856
SWU4 AAL Ipsi 0.325680351784634
SWU4 AAL Ipsi 0.3735340556563823
SWU4 AAL Ipsi 0.41326493224440414
SWU4 AAL Ipsi 0.28136463883847546
SWU4 AAL Ipsi 0.24399464609800364
SWU4 AAL Ipsi 0.2502461621294616
SWU4 AAL Ipsi 0.25291858166969144
SWU4 AAL Ipsi 0.2519572313974592
SWU4 AAL Ipsi 0.2501865840895342
SWU4 AAL Ipsi 0.2882804727767695
SWU4 AAL Ipsi 0.2689305865093769
SWU4 AAL Ipsi 0.34160760919540234
SWU4 AAL Ipsi 0.3216768003629764
SWU4 AAL Ipsi 0.3312902168784029
SWU4 AAL Ipsi 0.20248948578342404
SWU4 AAL Ipsi 0.23143676588021778
SWU4 AAL Ipsi 0.28699202147610403
SWU4 AAL Ipsi 0.4005342313974592
SWU4 AAL Ipsi 0.3189440120992135
SWU4 AAL Ipsi 0.2218796996370236
SWU4 AAL Ipsi 0.27346144918330306
SWU4 AAL Ipsi 0.39290040229885054
SWU4 AAL Ipsi 0.25320147247428915
SWU4 AAL Ipsi 0.2792305644283122
SWU4 AAL Ipsi 0.28440444827586203
SWU4 AAL Ipsi 0.34418405505142174
SWU4 AAL Ipsi 0.2579726881427707
SWU4 AAL Ipsi 0.3653992159709619
SWU4 AAL Ipsi 0.34908809618874775
SWU4 AAL Ipsi 0.25968107199032064
SWU4 AAL Ipsi 0.27011562280701756
SWU4 AAL Ipsi 0.42759059739866917
SWU4 AAL Ipsi 0.24211038717483366
SWU4 AAL Ipsi 0.26996382395644286
SWU4 AAL Ipsi 0.35439001240169393
SWU4 AAL Ipsi 0.33917101633393826
SWU4 AAL Ipsi 0.31450482879612823
SWU4 AAL Ipsi 0.27858543103448274
SWU4 AAL Ipsi 0.26485525922565034
SWU4 AAL Ipsi 0.29550573684210524
SWU4 AAL Ipsi 0.2571639863883847
SWU4 AAL Ipsi 0.3102582531760436
SWU4 AAL Ipsi 0.2852849325468844
SWU4 AAL Ipsi 0.2733645840895342
SWU4 AAL Ipsi 0.301189036600121
SWU4 AAL Ipsi 0.2336194576527526
SWU4 AAL Ipsi 0.25753740925589835
SWU4 AAL Ipsi 0.3276266718088324
SWU4 AAL Ipsi 0.26886463611615247
SWU4 AAL Ipsi 0.2625964570477919
SWU4 AAL Ipsi 0.23204862643678162
SWU4 AAL Ipsi 0.2954232450090744
SWU4 AAL Ipsi 0.2576503378705384
SWU4 AAL Ipsi 0.1628699927404719
SWU4 AAL Ipsi 0.2376484540229885
SWU4 AAL Ipsi 0.32728340290381125
SWU4 AAL Ipsi 0.32636683363581365
SWU4 AAL Ipsi 0.23466437598306106
SWU4 AAL Ipsi 0.22507783666061704
SWU4 AAL Ipsi 0.27857403478523896
SWU4 AAL Ipsi 0.22714151633393825
SWU4 AAL Ipsi 0.30544644827586204
SWU4 AAL Ipsi 0.28700752934059287
SWU4 AAL Ipsi 0.27289420568663036
SWU4 AAL Ipsi 0.2683075453720508
SWU4 AAL Ipsi 0.24111976043557168
